Date,year,month,Lng_cntwgs84,Lt_cntwgs84,eff_length,code_observer,code_boat,dde_pres,sfr_pres
13/05/2001,2001,5,-28.87015343,38.66044441,8249.667374,18,27,1,0
13/05/2001,2001,5,-28.67827762,38.72767537,9616,18,27,0,0
13/05/2001,2001,5,-28.3655899,38.76862052,5266,18,27,1,0
13/05/2001,2001,5,-28.2923964,38.75881505,5162.125265,18,27,0,0
14/05/2001,2001,5,-29.07042096,38.25015735,10294.91748,33,26,0,0
14/05/2001,2001,5,-28.95464211,38.27387899,11701,33,26,1,0
14/05/2001,2001,5,-25.60006504,37.70540657,9654.586125,18,27,0,0
14/05/2001,2001,5,-25.54634204,37.65644311,10553,18,27,0,0
14/05/2001,2001,5,-25.51473383,37.64906303,10553,18,27,0,0
15/05/2001,2001,5,-25.22959359,37.70576573,10231,18,27,0,0
15/05/2001,2001,5,-25.16939512,37.70204344,5070.542109,18,27,0,0
15/05/2001,2001,5,-25.62566506,37.6673723,6357,18,27,0,0
15/05/2001,2001,5,-25.5555397,37.66966022,6357,18,27,1,0
15/05/2001,2001,5,-25.48877921,37.66845994,5450.125265,18,27,1,0
15/05/2001,2001,5,-25.32917179,37.67783976,6281.514318,18,27,0,0
15/05/2001,2001,5,-28.78179934,38.77123812,5324,167,24,0,0
15/05/2001,2001,5,-28.84260154,38.76915625,5324,167,24,0,0
15/05/2001,2001,5,-28.94672355,38.23954808,6633,152,28,1,0
15/05/2001,2001,5,-28.91265118,38.29788838,6633,152,28,1,0
16/05/2001,2001,5,-27.77980972,38.33003659,5299,46,14,1,0
16/05/2001,2001,5,-27.83350626,38.34907539,5299,46,14,0,0
16/05/2001,2001,5,-28.96044954,38.11530517,5423.176704,33,26,1,0
16/05/2001,2001,5,-29.05674159,38.19629064,8104,33,26,1,0
16/05/2001,2001,5,-28.97983934,38.18222538,6297.463725,33,26,1,0
16/05/2001,2001,5,-28.29012018,38.35052231,6304,65,29,1,0
16/05/2001,2001,5,-28.48405248,38.38254448,6795.125686,65,29,1,0
16/05/2001,2001,5,-25.52779547,37.65299514,8759,18,27,0,0
